Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base
MarshallCV226,Marshall Breakout,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV226.php,,Minicam,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
MarshallCV345,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV345.php,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
MarshallCV35510X,Marshall Ethernet,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV355-10X-IP/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
MarshallCV35530X,Marshall Ethernet,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV355-10X-IP/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
MarshallCV366,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV366/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
MarshallCV368,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV368/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
MarshallCV370,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV370/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
MarshallCV374,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV374/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
MarshallCV420,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV420-30X/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
MarshallCV500,Marshall PushLock,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV500-MB.php,,Minicam,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
MarshallCV502,Marshall PushLock,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV502-MB.php,,Minicam,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
MarshallCV503,Marshall Hirose,Marshall,MFT-Mount,https://www.marcameurope.com/product/cv503/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
MarshallCV504,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV504/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
MarshallCV506,Marshall Hirose,Marshall,MFT-Mount,https://www.marcameurope.com/product/cv506/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
MarshallCV530,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV503.php,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
MarshallCV566,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV566/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
MarshallCV568,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV568/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
MarshallCV570,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV570/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
MarshallCV574,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV574/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
MarshallCV620-BI-WI,Marshall VISCA IP,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV620-BI-WI/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Generic/IPCamera,,,,,False,0,Fixed,LAN Wired,Fixed
MarshallCV630,Marshall PTZ,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV630-IP/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
MarshallCV730,Marshall PTZ,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV730/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
MarshallCV350,Not still documented,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV350.php,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
MarshallCV42030X,Not still documented,Marshall,No-Xchange-Manual,https://marshall-usa.com/discontinued/cameras/CV420-30X-IP.php,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
MarshallCV42030X232,Not still documented,Marshall,No-Xchange-Motorized,https://marshall-usa.com/discontinued/cameras/CV420-30X.php,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
MarshallCV605,Not still documented,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV605/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
MarshallGeneric,Not still documented,Marshall,MFT-Mount,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
QDCam,Not still documented,MediaEdge,Unknown,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
EVA1,Panasonic EVA1,Panasonic,LNE-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/EVA1,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
EVA1,Panasonic EVA1,Panasonic,EF-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/EVA1,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
CX350,Panasonic CX350,Panasonic,No-Xchange-Motorized,,,Handheld Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/CX350,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
